,cAMP,Ca,PKA,_CDK5,CK1.ParticleNumber,PP2AP,_PP2C,PP2B.ParticleNumber,PDEP,D.ParticleNumber,D34,D75,D137
440,592.124587,33.0581459162,219.6904353,67.714361,21.80478,12.4445887762,12.281833,34.334979713,943.56556,208.228,2649.83345488,101.570900246,8.244471
441,570.68385,33.1325194577,213.0089608,67.664154,21.918188,12.1099635497,12.280775,34.475348552,937.22546,212.752,2645.58041951,101.277798298,8.391832
442,549.919593,33.2075092938,206.6661903,67.612342,22.031885,11.7860291028,12.283698,34.612209065,930.82153,217.426,2640.84730357,101.278758694,8.561144
443,529.81939,33.2828944983,200.64567,67.559169,22.145764,11.4728529833,12.290347,34.745980737,924.36168,222.238,2635.64333384,101.551762698,8.751562
444,510.375929,33.3586627265,194.9340479,67.504977,22.259675,11.1704559165,12.300507,34.876482651,917.85485,227.179,2630.0302544,102.076508277,8.962305
445,491.578278,33.4345835001,189.5166049,67.450019,22.373479,10.8787928841,12.313953,35.003844094,911.30996,232.238,2624.01922266,102.83445143,9.192627
446,473.415302,33.5106631744,184.3791167,67.39438,22.487119,10.5977725234,12.330479,35.128054245,904.73692,237.406,2617.640699,103.808573414,9.441833
447,455.876389,33.5867731393,179.5089181,67.338434,22.600432,10.3272963063,12.349859,35.249242391,898.14363,242.674,2610.93473162,104.983274009,9.709262
448,438.948707,33.6629003313,174.8930265,67.282277,22.713325,10.0671739833,12.371908,35.367537917,891.53899,248.033,2603.90336198,106.343994567,9.994272
449,422.622661,33.7387432864,170.5185255,67.226114,22.825741,9.8171938994,12.396436,35.482900104,884.9319,253.474,2596.59602658,107.877574311,10.296256
450,406.883596,33.8144825869,166.3720585,67.170062,22.937471,9.5771558529,12.423254,35.595258236,878.32926,258.988,2589.0245286,109.571658619,10.614625
451,391.719716,33.8898058007,162.4434668,67.114385,23.048542,9.3467618867,12.452199,35.704921997,871.73996,264.569,2581.19974416,111.414730542,10.948814
452,377.116902,33.9648026072,158.7198998,67.058999,23.158948,9.1257598202,12.48308,35.811770871,865.17086,270.207,2573.16320971,113.396101969,11.298253
453,363.063687,34.0394723523,155.1907127,67.004282,23.268439,8.9138552073,12.51577,35.916024444,858.62887,275.897,2564.90723213,115.505799665,11.662354
454,349.546605,34.1136028107,151.8445077,66.950128,23.376991,8.7107238127,12.550092,36.017462401,852.12086,281.63,2556.47413941,117.734537304,12.040723
455,336.549662,34.1871952836,148.6719231,66.896713,23.484576,8.5160580106,12.585902,36.116404628,845.65371,287.4,2547.8661295,120.073194317,12.432703
456,324.061647,34.2602286315,145.6634019,66.844075,23.591174,8.3295222085,12.62308,36.212720711,839.23229,293.202,2539.09568449,122.515074854,12.837805
457,312.066931,34.3327123501,142.8082315,66.792389,23.696667,8.1507738631,12.661475,36.306610737,832.86247,299.029,2530.18721583,125.049576654,13.255541
458,300.551745,34.4045244941,140.098353,66.741581,23.80113,7.9795278101,12.700979,36.397984796,826.54815,304.876,2521.16318273,127.672121362,13.685428
459,289.5020145,34.4755764579,137.5249136,66.691658,23.904356,7.8154279869,12.741467,36.487022675,820.29418,310.738,2512.00662055,130.37545588,14.126994
460,278.9041295,34.5459576762,135.0801735,66.642865,24.00643,7.6581364902,12.782843,36.573634764,814.10544,316.609,2502.76175717,133.152411966,14.579765
461,268.7433738,34.6156675241,132.756081,66.595061,24.10725,7.5073665701,12.824994,36.657890954,807.98381,322.486,2493.42326668,135.997578796,15.043167
462,259.005064,34.6846047054,130.5454683,66.548391,24.206772,7.3627889624,12.867815,36.739991935,801.93217,328.365,2484.00643749,138.905933751,15.516831
463,249.6764845,34.7527708314,128.4419177,66.502713,24.305125,7.2241571244,12.91124,36.819847799,795.95439,334.241,2474.51323588,141.87055425,16.000306
464,240.7435396,34.8201454848,126.4389164,66.458095,24.402107,7.0911413998,12.955155,36.897428539,790.052363,340.112,2464.95763853,144.888468396,16.493224
465,232.1919102,34.8866476971,124.5300109,66.414682,24.497797,6.9634653361,12.999502,36.972825148,784.227963,345.973,2455.35788285,147.952750696,16.995025
466,224.0069252,34.9523771574,122.7097825,66.372243,24.592186,6.8408640814,13.044182,37.046248618,778.482075,351.823,2445.71396631,151.060614867,17.505354
467,216.1771564,35.0173148182,120.9727405,66.331045,24.685214,6.7230939032,13.08915,37.117676945,772.816589,357.657,2436.03329442,154.20729034,18.023858
468,208.6884479,35.0814809454,119.3137154,66.290857,24.777034,6.6099014944,13.134318,37.18691312,767.231395,363.474,2426.32965673,157.388059233,18.549986
469,201.5275567,35.1447642731,117.7282635,66.251646,24.867398,6.5010452261,13.179644,37.25424715,761.728386,369.271,2416.59834164,160.601272186,19.083489
470,194.6811365,35.2072651987,116.2117855,66.213681,24.95646,6.3963149097,13.225042,37.31955802,756.30746,375.047,2406.85165479,163.841281231,19.62392
471,188.1375381,35.268894981,114.7602906,66.176631,25.044263,6.29551013,13.270492,37.38296873,750.969516,380.798,2397.09760759,167.105492418,20.170935
472,181.8841488,35.3296427289,113.3696846,66.140665,25.130592,6.1984120099,13.315927,37.44463727,745.712458,386.525,2387.33763542,170.390355781,20.724186
473,175.9090684,35.3896080546,112.0366569,66.105682,25.215763,6.1048312766,13.361304,37.50428566,740.538193,392.224,2377.58760794,173.694346572,21.283339
474,170.2004254,35.4488121867,110.7578101,66.071632,25.299492,6.0146219667,13.406582,37.56218487,735.444631,397.894,2367.84012561,177.01401395,21.848056
475,164.7484302,35.507135638,109.5299848,66.038614,25.382066,5.927585118,13.45173,37.61835491,730.432687,403.535,2358.0912548,180.346896248,22.417894
476,159.5406364,35.564686868,108.3503177,66.006499,25.463222,5.843576888,13.496695,37.67276579,725.500278,409.145,2348.37519591,183.690538745,22.992714
477,154.566932,35.621366527,107.2160053,65.975367,25.543158,5.762458537,13.541455,37.72541949,720.647325,414.723,2338.66432862,187.041443901,23.571986
478,149.8171055,35.677376253,106.1244564,65.945108,25.621872,5.684077213,13.585979,37.77641503,715.872751,420.267,2328.98363023,190.399422952,24.15568
479,145.2812316,35.732524458,105.0733926,65.915704,25.699283,5.608285218,13.630236,37.82564439,711.175486,425.778,2319.32551106,193.761925587,24.743262
480,140.9497885,35.786801841,104.0604626,65.887135,25.775402,5.534988891,13.674205,37.87339658,706.555459,431.254,2309.69435968,197.126693144,25.334601
481,136.8134639,35.840429275,103.0836982,65.859383,25.850447,5.464045565,13.717866,37.9194826,702.010604,436.694,2300.09417645,200.492460122,25.929371
482,132.8633254,35.893285283,102.1411281,65.832349,25.92421,5.395359693,13.761178,37.96398444,697.539859,442.098,2290.53838065,203.85673507,26.527228
483,129.0910884,35.945382696,101.231039,65.806115,25.99671,5.328819796,13.804163,38.00700112,693.142166,447.465,2281.01019275,207.218418866,27.128076
484,125.4884957,35.996629208,100.3515867,65.780774,26.06817,5.264341378,13.846761,38.04843363,688.816466,452.795,2271.52090116,210.577200779,27.731564
485,122.0475269,36.047215633,99.501158,65.756007,26.1384,5.201800733,13.888974,38.08847197,684.561704,458.088,2262.07568512,213.929670578,28.337367
486,118.7604606,36.097153785,98.6783086,65.731917,26.20748,5.141145595,13.930793,38.12691714,680.375828,463.342,2252.66572497,217.276530851,28.945457
487,115.62076,36.146241508,97.8818414,65.708587,26.27545,5.082275778,13.972219,38.16396015,676.258797,468.558,2243.30548209,220.615052668,29.555457
488,112.6216235,36.194679897,97.1105584,65.68591,26.34232,5.025114807,14.013213,38.199711,672.207564,473.734,2233.9980018,223.944696599,30.16716
489,109.7557618,36.242370299,96.3630461,65.66388,26.40819,4.969592209,14.053761,38.23394868,668.223079,478.872,2224.73264426,227.265110122,30.78045
490,107.0162028,36.289420708,95.6376073,65.642388,26.47287,4.915636268,14.093884,38.2669962,664.302292,483.971,2215.5157139,230.574983846,31.395008
491,104.3983215,36.33582317,94.9339242,65.621539,26.53649,4.86317925,14.133564,38.29852257,660.444183,489.03,2206.35628092,233.872558912,32.010619
492,101.8957139,36.381486649,94.2508294,65.601316,26.59913,4.812158789,14.172805,38.32884777,656.648706,494.049,2197.24866366,237.158431227,32.627196
493,99.50302169,36.426511735,93.5871418,65.58152,26.66072,4.762530475,14.21156,38.35776382,652.913827,499.028,2188.1849913,240.431457262,33.24443
494,97.21481361,36.470908483,92.9422983,65.56225,26.72136,4.714221173,14.249884,38.38555872,649.237512,503.968,2179.18669,243.689438107,33.86233
495,95.02620167,36.51466796,92.3152068,65.5436,26.78086,4.66718022,14.287739,38.41204547,645.620732,508.867,2170.23477084,246.93329145,34.48046
496,92.93223025,36.557689011,91.7050841,65.52545,26.83954,4.621374871,14.325121,38.43733207,642.060456,513.726,2161.34365238,250.162816271,35.09888
497,90.92873578,36.600182277,91.1114191,65.50773,26.89719,4.576736667,14.362034,38.46139052,638.555656,518.545,2152.5113665,253.375985241,35.71723
498,89.01093758,36.642047973,90.5333088,65.49041,26.95385,4.533225003,14.398472,38.48433083,635.105305,523.324,2143.73324407,256.572546278,36.33555
499,87.17480524,36.683286136,89.970083,65.47371,27.00958,4.490809126,14.43445,38.50596299,631.709379,528.063,2135.01937487,259.752382342,36.95345
500,85.41641407,36.723907584,89.4211287,65.4573,27.06444,4.449440314,14.469944,38.52657701,628.365854,532.762,2126.36201029,262.915393333,37.571
501,83.71760336,1046.41352433,88.930376,64.25436,42.3651,4.36752943,14.61878,199.92405176,624.79655,633.814,2009.79142505,268.47562894,39.5666
502,82.03291645,1794.6914144,88.503592,64.30953,54.02975,4.20346315,15.23661,199.93131733,620.223996,747.081,1870.71087403,278.17408445,46.03296
503,80.37519268,2123.15144888,88.113725,64.52155,60.55264,4.0458266,16.10377,199.93149753,614.862352,842.957,1745.52553693,289.8854222,55.96396
504,78.75778917,2269.84694577,87.753794,64.82491,64.2067,3.9015439,17.05684,199.93218467,608.951775,924.333,1632.87037367,302.8923219,68.17274
505,77.18905493,1001.2428909,87.418913,65.14797,66.29087,3.7612742,18.01478,199.9196121,602.670372,993.11,1531.4152823,317.209625,81.73454
506,75.6741205,456.0667428,87.105275,65.40236,67.52968,3.6222906,18.94011,199.8497213,596.15021,1049.81,1440.1026219,333.918807,95.88675
507,74.21589035,219.101489,86.809194,65.56228,68.31144,3.4946592,19.81428,199.5119078,589.496333,1095.34,1358.1816332,353.1821248,110.1332
508,72.81600297,116.1624515,86.527937,65.64177,68.81366,3.3835397,20.63204,198.1472676,582.796771,1130.84,1285.1650898,374.4925205,124.17445
509,71.47517352,1398.47904202,86.258997,65.66147,69.24378,3.2972114,21.39003,199.9263053,576.122541,1158.96,1219.5113016,396.6229931,137.9093
510,70.19322576,1953.84138999,86.00027,65.73073,69.56698,3.2379134,22.09106,199.9305518,569.53865,1182.93,1160.6360191,416.4886261,151.59364
511,68.96920111,2196.72817972,85.75045,65.86544,69.79874,3.1905094,22.7444,199.9312019,563.087098,1204.47,1107.6449622,433.1017501,165.28471
512,67.80157059,2304.50252772,85.508928,66.03971,69.96128,3.1456376,23.35466,199.9318415,556.7968749,1223.92,1059.6931153,447.0258288,178.87811
513,66.68820655,1017.850351,85.274744,66.21638,70.07413,3.0959011,23.92724,199.9174925,550.6829679,1240.89,1016.154124,459.4863126,192.1826
514,65.62676421,464.228161,85.047482,66.33225,70.1566,3.0392029,24.46593,199.8418861,544.7503596,1253.74,976.6318077,472.9693673,204.80343
515,64.6149385,223.2696937,84.826461,66.36896,70.21674,2.9833438,24.96998,199.4804601,539.0020336,1262.01,940.9118677,488.3592982,216.55463
516,63.65069225,118.4875943,84.610923,66.33983,70.23216,2.9331353,25.44096,198.0477883,533.4449748,1266.01,908.9287845,505.4041511,227.41853
517,62.73168145,1399.56185572,84.400102,66.26752,70.31628,2.896848,25.87683,199.9256983,528.084169,1267.6,879.8521674,522.7684359,237.58237
518,61.85629565,1954.43903485,84.193129,66.25138,70.37775,2.8780992,26.27976,199.9302377,522.9346047,1269.9,853.5323554,536.6610315,247.72341
519,61.02263959,2197.07592661,83.98994,66.30853,70.4083,2.8651199,26.65845,199.9312086,517.9992688,1273.86,829.6276265,546.236213,258.02781
520,60.22857702,2304.70033222,83.790278,66.41373,70.41517,2.8506756,27.0157,199.9316891,513.2781468,1278.88,807.7936372,552.6021495,268.35081
521,59.47216412,1017.9392873,83.593939,66.53052,70.40651,2.8286807,27.35538,199.916563,508.7612238,1283.79,787.7911629,557.5319128,278.4052
522,58.75099529,464.2402259,83.40102,66.59558,70.39115,2.7974789,27.67941,199.8383852,504.4354842,1286.26,769.4848718,564.1659453,287.61966
523,58.06318391,223.2515569,83.211404,66.58984,70.36898,2.7643073,27.98516,199.4654174,500.2889142,1285.56,752.8368543,573.5239354,295.78979
524,57.40681513,118.5145557,83.024768,66.52478,70.31183,2.7338048,28.27256,197.9988964,496.3135022,1281.96,737.9033352,585.22146,302.96707
525,56.78039872,1399.45858928,82.840461,66.42343,70.33791,2.7140365,28.53784,199.9254485,492.5052379,1277.18,724.140071,597.639574,309.47603
526,56.18254417,1954.37705521,82.658273,66.38133,70.35123,2.7088496,28.78221,199.9304687,488.8701141,1274.45,711.5729438,606.4187765,316.25379
527,55.61203162,2197.04062645,82.478052,66.41612,70.34443,2.7077079,29.01343,199.931005,485.4081228,1274.51,700.0942488,610.7055341,323.51468
528,55.06745627,2304.66726566,82.29962,66.50198,70.32405,2.704063,29.23356,199.9312746,482.1142552,1276.43,689.5589224,611.8389262,331.02227
529,54.54728844,1017.9226397,82.123236,66.60212,70.29595,2.6922905,29.4459,199.9162086,478.9775023,1278.76,679.8676698,611.8289563,338.37951
530,54.04993776,464.2231395,81.949257,66.65334,70.26576,2.6708382,29.65131,199.8371956,475.9818542,1279.0,670.9682237,614.1165161,344.86082
531,53.57409038,223.2368693,81.777293,66.63587,70.231,2.6465784,29.84636,199.4603003,473.1133027,1276.37,662.8528569,619.7345578,350.23746
532,53.11850831,118.5237676,81.607138,66.56082,70.16171,2.6239708,30.03019,197.9806243,470.3648407,1271.18,655.6148751,628.189715,354.6076
533,52.68218015,1399.4206794,81.438739,66.45173,70.17977,2.6108558,30.19852,199.9251795,467.7314627,1265.13,648.8164038,637.6825915,358.38331
534,52.26421102,1954.35438907,81.271429,66.40284,70.18696,2.6111287,30.35182,199.9303147,465.2191651,1261.53,642.5575681,643.5330713,362.67694
535,51.86401292,2197.03436985,81.105428,66.43193,70.17698,2.6148166,30.49762,199.9311507,462.829944,1261.02,636.8258466,644.8652867,367.71277
536,51.48055695,2304.68214105,80.940689,66.51313,70.15635,2.6156924,30.63775,199.9317383,460.5567946,1262.58,631.5565417,643.125376,373.17844
537,51.11284757,1017.9284529,80.777409,66.60951,70.13009,2.6083551,30.77497,199.9164075,458.3937116,1264.68,626.7076535,640.4355211,378.59836
538,50.75984321,464.2256234,80.615704,66.65748,70.10263,2.5912941,30.91008,199.8359868,456.3246891,1264.74,622.2502487,640.3789192,383.13781
539,50.42064066,223.2394787,80.455614,66.63729,70.07031,2.5711214,31.03894,199.4575986,454.3377219,1262.0,618.1900113,643.9906057,386.55446
540,50.09439582,118.5351771,80.297052,66.55979,70.0026,2.5521794,31.16046,197.9728874,452.4258061,1256.8,614.6216567,650.7171151,388.97312
