# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 7.700000E+01 4 0 0 0 0 0 0 0 0 0 0 0 16 27 11 9 29 15
 7.750000E+01 6 0 0 0 0 0 0 0 0 0 0 0 18 16 17 17 20 15
 7.800000E+01 13 0 0 0 0 0 0 0 0 0 0 0 14 11 20 20 29 13
 7.850000E+01 9 0 0 0 0 0 0 0 0 0 0 0 12 14 24 22 28 14
 7.900000E+01 10 0 0 0 0 0 0 0 0 0 0 0 19 16 17 24 30 9
 7.950000E+01 5 0 0 0 0 0 0 0 0 0 0 0 17 13 21 27 19 13
 8.000000E+01 10 0 0 0 0 0 0 0 0 0 0 0 20 15 16 21 19 13
 8.050000E+01 9 0 0 0 0 0 0 0 0 0 0 0 19 12 19 17 30 12
 8.100000E+01 11 0 0 0 0 0 0 0 0 0 0 0 18 13 16 19 28 16
 8.150000E+01 8 0 0 0 0 0 0 0 0 0 0 0 29 18 16 11 21 21
 8.200000E+01 6 0 0 0 0 0 0 0 0 0 0 0 25 18 14 11 10 26
 8.250000E+01 10 0 0 0 0 0 0 0 0 0 0 0 19 13 18 12 16 20
 8.300000E+01 12 0 0 0 0 0 0 0 0 2 0 0 18 17 16 17 21 19
 8.350000E+01 10 0 0 0 0 0 0 1 0 0 0 0 18 17 15 17 24 22
 8.400000E+01 13 0 0 0 0 0 0 0 0 0 0 0 17 17 14 20 21 20
 8.450000E+01 6 0 0 0 0 0 0 0 0 0 0 0 20 20 16 14 18 26
 8.500000E+01 11 0 0 0 0 0 0 0 0 0 0 0 17 18 14 12 19 23
 8.550000E+01 6 0 0 0 0 0 0 0 0 1 0 0 17 22 13 15 18 24
 8.600000E+01 8 0 0 0 0 0 0 1 0 0 0 0 16 17 14 19 20 17
 8.650000E+01 6 0 0 0 0 0 0 0 0 0 0 0 19 17 15 19 20 21
 8.700000E+01 8 0 0 0 0 0 0 0 0 0 0 0 21 15 21 18 14 22
 8.750000E+01 8 0 0 0 0 0 0 0 0 0 0 0 17 19 19 12 21 24
 8.800000E+01 7 0 0 0 0 0 0 0 0 0 0 0 21 17 21 16 13 29
 8.850000E+01 8 0 0 0 0 0 0 0 0 0 0 0 21 15 20 18 23 21
 8.900000E+01 8 0 0 0 0 0 0 0 0 0 0 0 17 16 20 17 22 14
 8.950000E+01 8 0 0 0 0 0 0 0 0 1 0 0 16 13 14 21 21 18
 9.000000E+01 12 0 0 0 0 0 0 0 0 2 0 0 12 15 16 15 16 27
 9.050000E+01 12 0 0 0 0 0 0 0 0 0 0 0 15 15 18 19 18 21
 9.100000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 25 16 20 17 20
 9.150000E+01 11 0 0 0 0 0 0 0 0 0 0 0 22 29 16 21 11 10
 9.200000E+01 9 0 0 0 0 0 0 0 0 0 0 0 19 27 23 17 13 13
 9.250000E+01 5 0 0 0 0 0 0 0 0 0 0 0 15 21 22 14 21 17
 9.300000E+01 10 0 0 0 0 0 0 0 0 0 0 0 16 27 17 20 17 21
 9.350000E+01 5 0 0 0 0 0 0 0 0 0 0 0 13 27 18 11 22 21
 9.400000E+01 8 0 0 0 0 0 0 0 0 0 0 0 18 24 21 18 23 19
 9.450000E+01 11 0 0 0 0 0 0 0 0 0 0 0 14 16 29 16 21 19
 9.500000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 16 25 10 15 19
 9.550000E+01 6 0 0 0 0 0 0 0 0 0 0 0 18 19 19 13 21 24
 9.600000E+01 9 0 0 0 0 0 0 0 0 0 0 0 12 22 23 14 18 18
 9.650000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 26 11 20 20 19
 9.700000E+01 9 0 0 0 0 0 0 0 0 0 0 0 23 21 14 20 14 22
 9.750000E+01 10 0 0 0 0 0 0 0 0 0 0 0 13 23 18 15 18 24
 9.800000E+01 9 0 0 0 0 0 0 1 0 0 0 0 13 13 23 25 15 20
 9.850000E+01 7 0 0 0 0 0 0 0 0 1 0 0 21 23 22 21 18 19
 9.900000E+01 8 0 0 0 0 0 0 1 0 0 0 0 13 21 16 17 19 29
 9.950000E+01 19 0 0 0 0 0 0 0 0 1 0 0 13 19 15 13 24 25
 1.000000E+02 8 0 0 0 0 0 0 2 0 0 0 0 15 26 13 16 12 26
 1.005000E+02 8 0 0 0 0 0 0 0 0 1 0 0 22 19 20 19 11 29
 1.010000E+02 12 0 0 0 0 0 0 0 0 1 0 0 22 29 14 18 17 19
 1.015000E+02 6 0 0 0 0 0 0 1 0 0 0 0 20 17 13 26 9 26
 1.020000E+02 9 0 0 0 0 0 0 0 0 1 0 0 14 22 20 16 18 17
 1.025000E+02 7 0 0 0 0 0 0 0 0 0 0 0 14 27 19 18 21 13
 1.030000E+02 5 0 0 0 0 0 0 0 0 0 0 0 17 31 13 17 18 19
 1.035000E+02 8 0 0 0 0 0 0 0 0 0 0 0 20 20 19 17 26 16
 1.040000E+02 8 0 0 0 0 0 0 0 0 1 0 0 24 23 19 14 21 14
 1.045000E+02 9 0 0 0 0 0 0 0 0 1 0 0 15 18 23 21 13 16
 1.050000E+02 7 0 0 0 0 0 0 0 0 0 0 0 14 24 21 21 19 17
