Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
560	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
560.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
561	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
561.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
562	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
562.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
563	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
563.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
564	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
564.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
565	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
565.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
566	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
566.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
567	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
567.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
568	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
568.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
569	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
569.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
570	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
570.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
571	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
571.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
572	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
572.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
573	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
573.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
574	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
574.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
575	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
575.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
576	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
576.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
577	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
577.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
578	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
578.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
579	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
579.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
580	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
580.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
581	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
581.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
582	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
582.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
583	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
583.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
