Time	Ca.ParticleNumber	cAMP.ParticleNumber
372	9.61251	0.243452
372.5	9.60049	0.242809
373	9.58866	0.242167
373.5	9.57701	0.241527
374	9.56554	0.240888
374.5	9.55425	0.240249
375	9.54313	0.239612
375.5	9.53218	0.238976
376	9.5214	0.238341
376.5	9.51079	0.237707
377	9.50035	0.237075
377.5	9.49006	0.236443
378	9.47994	0.235812
378.5	9.46997	0.235183
379	9.46016	0.234554
379.5	9.4505	0.233926
380	9.441	0.233299
380.5	9.43164	0.232674
381	9.42243	0.232049
381.5	9.41336	0.231425
382	9.40443	0.230802
382.5	9.39565	0.23018
383	9.387	0.22956
383.5	9.37849	0.228939
384	9.37011	0.22832
384.5	9.36187	0.227702
385	9.35375	0.227085
385.5	9.34577	0.226469
386	9.33791	0.225853
386.5	9.33018	0.225239
387	9.32256	0.224625
387.5	9.31507	0.224012
388	9.3077	0.2234
388.5	9.30045	0.22279
389	9.29331	0.222179
389.5	9.28629	0.22157
390	9.27938	0.220962
390.5	9.27258	0.220355
391	9.26589	0.219748
391.5	9.2593	0.219143
392	9.25282	0.218538
392.5	9.24645	0.217934
393	9.24018	0.217331
393.5	9.23401	0.216729
394	9.22794	0.216128
394.5	9.22197	0.215528
395	9.21609	0.214929
395.5	9.21031	0.21433
396	9.20463	0.213733
396.5	9.19904	0.213136
397	9.19354	0.212541
397.5	9.18813	0.211946
398	9.18281	0.211352
398.5	9.17758	0.21076
399	9.17243	0.210168
399.5	9.16737	0.209577
400	9.16239	0.208987
400.5	9.15749	0.208398
401	9.15267	0.20781
401.5	9.14793	0.207223
402	9.14327	0.206637
402.5	9.13868	0.206051
403	9.13417	0.205467
403.5	9.12973	0.204884
404	9.12537	0.204302
404.5	9.12108	0.203721
405	9.11687	0.203141
405.5	9.11272	0.202562
406	9.10865	0.201984
406.5	9.10464	0.201407
407	9.1007	0.200831
407.5	9.09683	0.200256
408	9.09302	0.199682
408.5	9.08927	0.199109
409	9.08559	0.198538
409.5	9.08197	0.197967
410	9.07841	0.197398
410.5	9.07491	0.196829
411	9.07147	0.196262
411.5	9.06809	0.195696
412	9.06476	0.195131
412.5	9.06149	0.194567
413	9.05828	0.194004
413.5	9.05512	0.193443
414	9.05202	0.192882
414.5	9.04897	0.192323
415	9.04597	0.191765
415.5	9.04302	0.191208
416	9.04013	0.190653
416.5	9.03728	0.190098
417	9.03448	0.189545
417.5	9.03173	0.188993
418	9.02903	0.188442
418.5	9.02638	0.187893
419	9.02377	0.187344
419.5	9.0212	0.186797
420	9.01868	0.186252
420.5	9.0162	0.185707
421	9.01377	0.185164
421.5	9.01138	0.184622
422	9.00903	0.184082
422.5	9.00672	0.183542
423	9.00445	0.183004
423.5	9.00222	0.182468
424	9.00003	0.181932
424.5	8.99788	0.181398
425	8.99577	0.180866
425.5	8.99369	0.180334
426	8.99165	0.179804
426.5	8.98965	0.179276
427	8.98768	0.178748
427.5	8.98574	0.178223
428	8.98384	0.177698
428.5	8.98198	0.177175
429	8.98014	0.176654
429.5	8.97834	0.176133
430	8.97657	0.175615
430.5	8.97483	0.175097
431	8.97312	0.174581
431.5	8.97145	0.174067
432	8.9698	0.173554
432.5	8.96818	0.173042
433	8.96659	0.172532
433.5	8.96503	0.172023
434	8.9635	0.171516
434.5	8.962	0.17101
435	8.96052	0.170506
435.5	8.95907	0.170003
436	8.95764	0.169501
436.5	8.95624	0.169001
437	8.95487	0.168503
437.5	8.95352	0.168006
438	8.95219	0.167511
438.5	8.95089	0.167017
439	8.94961	0.166524
439.5	8.94836	0.166034
440	8.94713	0.165544
440.5	8.94592	0.165056
441	8.94473	0.16457
441.5	8.94357	0.164085
442	8.94242	0.163602
442.5	8.9413	0.16312
443	8.94019	0.16264
443.5	8.93911	0.162162
444	8.93805	0.161685
444.5	8.93701	0.161209
445	8.93598	0.160735
445.5	8.93498	0.160263
446	8.93399	0.159792
446.5	8.93302	0.159323
447	8.93207	0.158855
447.5	8.93113	0.158389
448	8.93022	0.157924
448.5	8.92932	0.157461
449	8.92844	0.157
449.5	8.92757	0.15654
450	8.92672	0.156081
450.5	8.92588	0.155625
451	8.92506	0.15517
451.5	8.92426	0.154716
452	8.92347	0.154264
452.5	8.92269	0.153814
453	8.92193	0.153365
453.5	8.92119	0.152917
454	8.92046	0.152472
454.5	8.91974	0.152028
455	8.91903	0.151585
455.5	8.91834	0.151144
456	8.91766	0.150705
456.5	8.91699	0.150267
457	8.91634	0.149831
457.5	8.9157	0.149396
458	8.91507	0.148963
458.5	8.91445	0.148531
459	8.91384	0.148101
459.5	8.91324	0.147673
460	8.91266	0.147246
460.5	8.91209	0.146821
461	8.91152	0.146397
461.5	8.91097	0.145975
462	8.91043	0.145555
462.5	8.9099	0.145136
463	8.90937	0.144719
463.5	8.90886	0.144303
