'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?'
0 8 255 0 71 12 0 1 49 11 0 436 231 0 1514 819 0 0 0
0 9 252 0 63 12 0 1 61 7 0 437 224 0 1509 830 0 0 0
0 8 249 0 63 11 0 1 54 7 0 441 217 0 1505 837 0 0 0
0 11 248 0 67 10 0 1 54 9 0 437 214 0 1491 858 0 0 0
0 14 242 0 63 11 0 0 60 7 0 431 215 0 1466 888 0 0 0
0 11 247 0 72 18 0 0 61 8 0 441 202 0 1463 894 0 0 0
0 4 243 0 64 16 0 1 54 9 0 430 208 0 1482 880 0 0 0
0 10 239 0 67 11 0 1 57 7 0 427 202 0 1497 874 0 0 0
0 9 241 0 59 9 0 0 56 9 0 418 208 0 1505 869 0 0 0
0 5 239 0 67 12 0 0 59 14 0 413 211 0 1499 877 0 0 0
0 6 235 0 64 10 0 1 53 10 0 406 214 0 1504 876 0 0 0
0 5 233 0 61 9 0 0 54 8 0 401 216 0 1533 850 0 0 0
0 4 232 0 63 11 0 0 59 11 0 399 214 0 1533 854 0 0 0
0 5 235 0 59 9 0 0 60 9 0 402 209 0 1524 865 0 0 0
0 8 234 0 67 6 0 0 54 9 0 397 210 0 1519 874 0 0 0
0 5 231 0 63 5 0 0 57 5 0 397 209 0 1535 859 0 0 0
0 5 233 0 61 5 0 0 51 13 0 395 210 0 1539 856 0 0 0
0 12 230 0 49 8 0 0 51 6 0 393 210 0 1551 846 0 0 0
0 10 232 0 73 6 0 0 56 6 0 384 219 0 1537 860 0 0 0
0 14 236 0 68 9 0 0 57 10 0 385 218 0 1530 867 0 0 0
0 8 244 0 65 11 0 0 45 6 0 381 221 0 1532 866 0 0 0
0 11 243 0 70 10 0 0 56 17 0 383 216 0 1525 876 0 0 0
0 6 241 0 66 12 0 1 58 9 0 380 216 0 1527 877 0 0 0
0 5 247 0 64 11 0 0 57 10 0 383 207 0 1516 894 0 0 0
0 6 246 0 66 8 0 0 58 11 0 378 209 0 1508 905 0 0 0
0 9 247 0 65 9 0 0 57 13 0 386 201 0 1498 915 0 0 0
0 7 251 0 65 10 0 0 60 9 0 381 200 0 1520 899 0 0 0
0 9 247 0 65 13 0 0 56 12 0 376 199 0 1529 896 0 0 0
0 12 248 0 63 14 0 0 57 10 0 374 198 0 1528 900 0 0 0
0 6 244 0 61 11 0 0 55 12 0 367 202 0 1524 907 0 0 0
0 10 235 0 61 9 0 1 56 11 0 373 196 0 1532 899 0 0 0
0 12 229 0 68 10 0 1 58 9 0 374 192 0 1531 903 0 0 0
0 13 227 0 65 7 0 0 62 5 0 360 203 0 1532 905 0 0 0
0 7 225 0 64 5 0 0 49 17 0 356 204 0 1544 896 0 0 0
0 2 225 0 73 5 0 1 55 8 0 352 205 0 1560 883 0 0 0
0 3 228 0 59 6 0 1 58 9 0 348 205 0 1561 886 0 0 0
0 6 230 0 63 6 0 2 57 12 0 354 199 0 1568 879 0 0 0
0 6 233 0 66 5 0 1 51 4 0 361 192 0 1560 887 0 0 0
